memory.used [MiB], memory.total [MiB], utilization.gpu [%]
10137 MiB, 22528 MiB, 79 %
400 MiB, 22528 MiB, 0 %
10137 MiB, 22528 MiB, 81 %
399 MiB, 22528 MiB, 0 %
10137 MiB, 22528 MiB, 81 %
399 MiB, 22528 MiB, 0 %
10137 MiB, 22528 MiB, 65 %
399 MiB, 22528 MiB, 0 %
295 MiB, 22528 MiB, 0 %
399 MiB, 22528 MiB, 0 %
9947 MiB, 22528 MiB, 57 %
399 MiB, 22528 MiB, 0 %
9947 MiB, 22528 MiB, 77 %
399 MiB, 22528 MiB, 0 %
9947 MiB, 22528 MiB, 75 %
400 MiB, 22528 MiB, 0 %
9947 MiB, 22528 MiB, 60 %
400 MiB, 22528 MiB, 0 %
9947 MiB, 22528 MiB, 77 %
400 MiB, 22528 MiB, 0 %
9947 MiB, 22528 MiB, 78 %
400 MiB, 22528 MiB, 0 %
9947 MiB, 22528 MiB, 79 %
400 MiB, 22528 MiB, 0 %
9947 MiB, 22528 MiB, 81 %
400 MiB, 22528 MiB, 0 %
9947 MiB, 22528 MiB, 77 %
400 MiB, 22528 MiB, 0 %
9947 MiB, 22528 MiB, 81 %
400 MiB, 22528 MiB, 0 %
9947 MiB, 22528 MiB, 80 %
400 MiB, 22528 MiB, 0 %
9947 MiB, 22528 MiB, 81 %
400 MiB, 22528 MiB, 0 %
9947 MiB, 22528 MiB, 83 %
400 MiB, 22528 MiB, 0 %
9947 MiB, 22528 MiB, 73 %
400 MiB, 22528 MiB, 0 %
9947 MiB, 22528 MiB, 81 %
399 MiB, 22528 MiB, 0 %
9947 MiB, 22528 MiB, 81 %
399 MiB, 22528 MiB, 0 %
9947 MiB, 22528 MiB, 77 %
399 MiB, 22528 MiB, 0 %
9947 MiB, 22528 MiB, 77 %
399 MiB, 22528 MiB, 0 %
9947 MiB, 22528 MiB, 77 %
399 MiB, 22528 MiB, 0 %
9947 MiB, 22528 MiB, 78 %
399 MiB, 22528 MiB, 0 %
9947 MiB, 22528 MiB, 76 %
400 MiB, 22528 MiB, 0 %
9947 MiB, 22528 MiB, 82 %
400 MiB, 22528 MiB, 0 %
9947 MiB, 22528 MiB, 78 %
400 MiB, 22528 MiB, 0 %
9947 MiB, 22528 MiB, 80 %
400 MiB, 22528 MiB, 0 %
9947 MiB, 22528 MiB, 76 %
400 MiB, 22528 MiB, 0 %
9947 MiB, 22528 MiB, 78 %
400 MiB, 22528 MiB, 0 %
9947 MiB, 22528 MiB, 79 %
400 MiB, 22528 MiB, 0 %
9947 MiB, 22528 MiB, 82 %
400 MiB, 22528 MiB, 0 %
9947 MiB, 22528 MiB, 79 %
400 MiB, 22528 MiB, 0 %
9947 MiB, 22528 MiB, 76 %
400 MiB, 22528 MiB, 0 %
9947 MiB, 22528 MiB, 72 %
400 MiB, 22528 MiB, 0 %
9947 MiB, 22528 MiB, 77 %
400 MiB, 22528 MiB, 0 %
9947 MiB, 22528 MiB, 78 %
399 MiB, 22528 MiB, 0 %
9947 MiB, 22528 MiB, 78 %
399 MiB, 22528 MiB, 0 %
9947 MiB, 22528 MiB, 79 %
399 MiB, 22528 MiB, 0 %
9947 MiB, 22528 MiB, 81 %
399 MiB, 22528 MiB, 0 %
9947 MiB, 22528 MiB, 82 %
399 MiB, 22528 MiB, 0 %
9947 MiB, 22528 MiB, 81 %
399 MiB, 22528 MiB, 0 %
9947 MiB, 22528 MiB, 79 %
399 MiB, 22528 MiB, 0 %
9947 MiB, 22528 MiB, 77 %
399 MiB, 22528 MiB, 0 %
9947 MiB, 22528 MiB, 61 %
399 MiB, 22528 MiB, 0 %
9947 MiB, 22528 MiB, 79 %
399 MiB, 22528 MiB, 0 %
9947 MiB, 22528 MiB, 80 %
399 MiB, 22528 MiB, 0 %
9947 MiB, 22528 MiB, 81 %
399 MiB, 22528 MiB, 0 %
9947 MiB, 22528 MiB, 78 %
400 MiB, 22528 MiB, 0 %
9947 MiB, 22528 MiB, 78 %
400 MiB, 22528 MiB, 0 %
9947 MiB, 22528 MiB, 79 %
400 MiB, 22528 MiB, 0 %
9947 MiB, 22528 MiB, 81 %
400 MiB, 22528 MiB, 0 %
9947 MiB, 22528 MiB, 80 %
400 MiB, 22528 MiB, 0 %
9947 MiB, 22528 MiB, 82 %
400 MiB, 22528 MiB, 0 %
9947 MiB, 22528 MiB, 72 %
400 MiB, 22528 MiB, 0 %
9947 MiB, 22528 MiB, 82 %
400 MiB, 22528 MiB, 0 %
9947 MiB, 22528 MiB, 82 %
400 MiB, 22528 MiB, 0 %
9947 MiB, 22528 MiB, 80 %
400 MiB, 22528 MiB, 0 %
9947 MiB, 22528 MiB, 80 %
400 MiB, 22528 MiB, 0 %
9947 MiB, 22528 MiB, 76 %
400 MiB, 22528 MiB, 0 %
9947 MiB, 22528 MiB, 76 %
399 MiB, 22528 MiB, 0 %
9947 MiB, 22528 MiB, 77 %
399 MiB, 22528 MiB, 0 %
9947 MiB, 22528 MiB, 78 %
399 MiB, 22528 MiB, 0 %
9947 MiB, 22528 MiB, 80 %
399 MiB, 22528 MiB, 0 %
9947 MiB, 22528 MiB, 75 %
399 MiB, 22528 MiB, 0 %
9947 MiB, 22528 MiB, 81 %
399 MiB, 22528 MiB, 0 %
9947 MiB, 22528 MiB, 77 %
400 MiB, 22528 MiB, 0 %
9947 MiB, 22528 MiB, 79 %
400 MiB, 22528 MiB, 0 %
295 MiB, 22528 MiB, 27 %
400 MiB, 22528 MiB, 0 %
295 MiB, 22528 MiB, 0 %
400 MiB, 22528 MiB, 0 %
9947 MiB, 22528 MiB, 77 %
400 MiB, 22528 MiB, 0 %
9947 MiB, 22528 MiB, 77 %
400 MiB, 22528 MiB, 0 %
9947 MiB, 22528 MiB, 75 %
400 MiB, 22528 MiB, 0 %
9947 MiB, 22528 MiB, 78 %
400 MiB, 22528 MiB, 0 %
9947 MiB, 22528 MiB, 78 %
400 MiB, 22528 MiB, 0 %
9947 MiB, 22528 MiB, 78 %
400 MiB, 22528 MiB, 0 %
9947 MiB, 22528 MiB, 59 %
400 MiB, 22528 MiB, 0 %
9947 MiB, 22528 MiB, 79 %
400 MiB, 22528 MiB, 0 %
9947 MiB, 22528 MiB, 78 %
399 MiB, 22528 MiB, 0 %
9947 MiB, 22528 MiB, 78 %
399 MiB, 22528 MiB, 0 %
9947 MiB, 22528 MiB, 80 %
399 MiB, 22528 MiB, 0 %
9947 MiB, 22528 MiB, 82 %
399 MiB, 22528 MiB, 0 %
9947 MiB, 22528 MiB, 82 %
399 MiB, 22528 MiB, 0 %
9947 MiB, 22528 MiB, 79 %
399 MiB, 22528 MiB, 0 %
9947 MiB, 22528 MiB, 78 %
400 MiB, 22528 MiB, 0 %
9947 MiB, 22528 MiB, 78 %
400 MiB, 22528 MiB, 0 %
9947 MiB, 22528 MiB, 60 %
400 MiB, 22528 MiB, 0 %
9947 MiB, 22528 MiB, 80 %
400 MiB, 22528 MiB, 0 %
9947 MiB, 22528 MiB, 82 %
400 MiB, 22528 MiB, 0 %
9947 MiB, 22528 MiB, 79 %
400 MiB, 22528 MiB, 0 %
9947 MiB, 22528 MiB, 78 %
400 MiB, 22528 MiB, 0 %
9947 MiB, 22528 MiB, 77 %
400 MiB, 22528 MiB, 0 %
9947 MiB, 22528 MiB, 76 %
400 MiB, 22528 MiB, 0 %
9947 MiB, 22528 MiB, 77 %
400 MiB, 22528 MiB, 0 %
9947 MiB, 22528 MiB, 77 %
400 MiB, 22528 MiB, 0 %
9947 MiB, 22528 MiB, 78 %
400 MiB, 22528 MiB, 0 %
9947 MiB, 22528 MiB, 58 %
399 MiB, 22528 MiB, 0 %
9947 MiB, 22528 MiB, 81 %
399 MiB, 22528 MiB, 0 %
9947 MiB, 22528 MiB, 82 %
399 MiB, 22528 MiB, 0 %
9947 MiB, 22528 MiB, 83 %
399 MiB, 22528 MiB, 0 %
9947 MiB, 22528 MiB, 79 %
399 MiB, 22528 MiB, 0 %
9947 MiB, 22528 MiB, 78 %
399 MiB, 22528 MiB, 0 %
9947 MiB, 22528 MiB, 76 %
400 MiB, 22528 MiB, 0 %
9947 MiB, 22528 MiB, 77 %
400 MiB, 22528 MiB, 0 %
9947 MiB, 22528 MiB, 81 %
400 MiB, 22528 MiB, 0 %
9947 MiB, 22528 MiB, 82 %
400 MiB, 22528 MiB, 0 %
9947 MiB, 22528 MiB, 81 %
400 MiB, 22528 MiB, 0 %
9947 MiB, 22528 MiB, 77 %
400 MiB, 22528 MiB, 0 %
9947 MiB, 22528 MiB, 78 %
401 MiB, 22528 MiB, 0 %
9947 MiB, 22528 MiB, 78 %
401 MiB, 22528 MiB, 0 %
9947 MiB, 22528 MiB, 80 %
401 MiB, 22528 MiB, 0 %
9947 MiB, 22528 MiB, 79 %
401 MiB, 22528 MiB, 0 %
9947 MiB, 22528 MiB, 78 %
401 MiB, 22528 MiB, 0 %
9947 MiB, 22528 MiB, 73 %
401 MiB, 22528 MiB, 0 %
9947 MiB, 22528 MiB, 78 %
400 MiB, 22528 MiB, 0 %
9947 MiB, 22528 MiB, 80 %
400 MiB, 22528 MiB, 0 %
9947 MiB, 22528 MiB, 80 %
400 MiB, 22528 MiB, 0 %
9947 MiB, 22528 MiB, 82 %
400 MiB, 22528 MiB, 0 %
9947 MiB, 22528 MiB, 79 %
400 MiB, 22528 MiB, 0 %
9947 MiB, 22528 MiB, 80 %
400 MiB, 22528 MiB, 0 %
9947 MiB, 22528 MiB, 81 %
400 MiB, 22528 MiB, 0 %
9947 MiB, 22528 MiB, 81 %
400 MiB, 22528 MiB, 0 %
9947 MiB, 22528 MiB, 82 %
400 MiB, 22528 MiB, 0 %
9947 MiB, 22528 MiB, 74 %
400 MiB, 22528 MiB, 0 %
9947 MiB, 22528 MiB, 78 %
400 MiB, 22528 MiB, 0 %
9947 MiB, 22528 MiB, 76 %
400 MiB, 22528 MiB, 0 %
9947 MiB, 22528 MiB, 78 %
400 MiB, 22528 MiB, 0 %
9947 MiB, 22528 MiB, 79 %
400 MiB, 22528 MiB, 0 %
9947 MiB, 22528 MiB, 83 %
400 MiB, 22528 MiB, 0 %
9947 MiB, 22528 MiB, 83 %
400 MiB, 22528 MiB, 0 %
9947 MiB, 22528 MiB, 77 %
400 MiB, 22528 MiB, 0 %
295 MiB, 22528 MiB, 0 %
400 MiB, 22528 MiB, 0 %
9 MiB, 22528 MiB, 0 %
400 MiB, 22528 MiB, 0 %
11201 MiB, 22528 MiB, 64 %
400 MiB, 22528 MiB, 0 %
11203 MiB, 22528 MiB, 66 %
400 MiB, 22528 MiB, 0 %
11203 MiB, 22528 MiB, 64 %
400 MiB, 22528 MiB, 0 %
11203 MiB, 22528 MiB, 66 %
400 MiB, 22528 MiB, 0 %
11203 MiB, 22528 MiB, 56 %
400 MiB, 22528 MiB, 0 %
11203 MiB, 22528 MiB, 65 %
400 MiB, 22528 MiB, 0 %
11203 MiB, 22528 MiB, 61 %
400 MiB, 22528 MiB, 0 %
11203 MiB, 22528 MiB, 62 %
400 MiB, 22528 MiB, 0 %
11203 MiB, 22528 MiB, 70 %
400 MiB, 22528 MiB, 0 %
11203 MiB, 22528 MiB, 63 %
400 MiB, 22528 MiB, 0 %
11203 MiB, 22528 MiB, 63 %
400 MiB, 22528 MiB, 0 %
11203 MiB, 22528 MiB, 57 %
400 MiB, 22528 MiB, 0 %
11203 MiB, 22528 MiB, 61 %
400 MiB, 22528 MiB, 0 %
11203 MiB, 22528 MiB, 68 %
400 MiB, 22528 MiB, 0 %
11203 MiB, 22528 MiB, 63 %
400 MiB, 22528 MiB, 0 %
11203 MiB, 22528 MiB, 60 %
400 MiB, 22528 MiB, 0 %
11203 MiB, 22528 MiB, 56 %
400 MiB, 22528 MiB, 0 %
11203 MiB, 22528 MiB, 60 %
400 MiB, 22528 MiB, 0 %
11203 MiB, 22528 MiB, 61 %
400 MiB, 22528 MiB, 0 %
11203 MiB, 22528 MiB, 69 %
400 MiB, 22528 MiB, 0 %
11203 MiB, 22528 MiB, 62 %
400 MiB, 22528 MiB, 0 %
11203 MiB, 22528 MiB, 58 %
400 MiB, 22528 MiB, 0 %
11203 MiB, 22528 MiB, 64 %
400 MiB, 22528 MiB, 0 %
11203 MiB, 22528 MiB, 69 %
400 MiB, 22528 MiB, 0 %
11203 MiB, 22528 MiB, 56 %
400 MiB, 22528 MiB, 0 %
11203 MiB, 22528 MiB, 60 %
400 MiB, 22528 MiB, 0 %
11203 MiB, 22528 MiB, 65 %
400 MiB, 22528 MiB, 0 %
11203 MiB, 22528 MiB, 70 %
400 MiB, 22528 MiB, 0 %
11203 MiB, 22528 MiB, 64 %
400 MiB, 22528 MiB, 0 %
11203 MiB, 22528 MiB, 63 %
399 MiB, 22528 MiB, 0 %
11203 MiB, 22528 MiB, 56 %
399 MiB, 22528 MiB, 0 %
11203 MiB, 22528 MiB, 65 %
399 MiB, 22528 MiB, 0 %
11203 MiB, 22528 MiB, 65 %
399 MiB, 22528 MiB, 0 %
11203 MiB, 22528 MiB, 60 %
399 MiB, 22528 MiB, 0 %
11203 MiB, 22528 MiB, 60 %
400 MiB, 22528 MiB, 0 %
11203 MiB, 22528 MiB, 68 %
400 MiB, 22528 MiB, 0 %
11203 MiB, 22528 MiB, 56 %
400 MiB, 22528 MiB, 0 %
11203 MiB, 22528 MiB, 59 %
400 MiB, 22528 MiB, 0 %
11203 MiB, 22528 MiB, 67 %
400 MiB, 22528 MiB, 0 %
11203 MiB, 22528 MiB, 69 %
400 MiB, 22528 MiB, 0 %
11203 MiB, 22528 MiB, 59 %
400 MiB, 22528 MiB, 0 %
11203 MiB, 22528 MiB, 58 %
400 MiB, 22528 MiB, 0 %
11203 MiB, 22528 MiB, 59 %
400 MiB, 22528 MiB, 0 %
11203 MiB, 22528 MiB, 56 %
400 MiB, 22528 MiB, 0 %
11203 MiB, 22528 MiB, 60 %
400 MiB, 22528 MiB, 0 %
11203 MiB, 22528 MiB, 67 %
400 MiB, 22528 MiB, 0 %
11203 MiB, 22528 MiB, 58 %
400 MiB, 22528 MiB, 0 %
11203 MiB, 22528 MiB, 67 %
400 MiB, 22528 MiB, 0 %
11203 MiB, 22528 MiB, 60 %
400 MiB, 22528 MiB, 0 %
11203 MiB, 22528 MiB, 49 %
400 MiB, 22528 MiB, 0 %
11203 MiB, 22528 MiB, 67 %
400 MiB, 22528 MiB, 0 %
11203 MiB, 22528 MiB, 61 %
400 MiB, 22528 MiB, 0 %
11203 MiB, 22528 MiB, 57 %
400 MiB, 22528 MiB, 0 %
11203 MiB, 22528 MiB, 61 %
400 MiB, 22528 MiB, 0 %
11203 MiB, 22528 MiB, 69 %
400 MiB, 22528 MiB, 0 %
11203 MiB, 22528 MiB, 68 %
400 MiB, 22528 MiB, 0 %
11203 MiB, 22528 MiB, 56 %
400 MiB, 22528 MiB, 0 %
11203 MiB, 22528 MiB, 58 %
400 MiB, 22528 MiB, 0 %
11203 MiB, 22528 MiB, 61 %
400 MiB, 22528 MiB, 0 %
11203 MiB, 22528 MiB, 70 %
400 MiB, 22528 MiB, 0 %
11203 MiB, 22528 MiB, 64 %
400 MiB, 22528 MiB, 0 %
11203 MiB, 22528 MiB, 58 %
400 MiB, 22528 MiB, 0 %
11203 MiB, 22528 MiB, 48 %
400 MiB, 22528 MiB, 0 %
11203 MiB, 22528 MiB, 61 %
400 MiB, 22528 MiB, 0 %
11203 MiB, 22528 MiB, 58 %
400 MiB, 22528 MiB, 0 %
11203 MiB, 22528 MiB, 65 %
400 MiB, 22528 MiB, 0 %
11203 MiB, 22528 MiB, 67 %
400 MiB, 22528 MiB, 0 %
11203 MiB, 22528 MiB, 58 %
400 MiB, 22528 MiB, 0 %
11203 MiB, 22528 MiB, 58 %
400 MiB, 22528 MiB, 0 %
11203 MiB, 22528 MiB, 48 %
400 MiB, 22528 MiB, 0 %
11203 MiB, 22528 MiB, 56 %
400 MiB, 22528 MiB, 0 %
11203 MiB, 22528 MiB, 64 %
400 MiB, 22528 MiB, 0 %
11203 MiB, 22528 MiB, 70 %
400 MiB, 22528 MiB, 0 %
11203 MiB, 22528 MiB, 66 %
400 MiB, 22528 MiB, 0 %
11203 MiB, 22528 MiB, 57 %
400 MiB, 22528 MiB, 0 %
11203 MiB, 22528 MiB, 53 %
400 MiB, 22528 MiB, 0 %
11203 MiB, 22528 MiB, 56 %
400 MiB, 22528 MiB, 0 %
11203 MiB, 22528 MiB, 57 %
400 MiB, 22528 MiB, 0 %
11203 MiB, 22528 MiB, 65 %
400 MiB, 22528 MiB, 0 %
11203 MiB, 22528 MiB, 67 %
400 MiB, 22528 MiB, 0 %
11203 MiB, 22528 MiB, 57 %
400 MiB, 22528 MiB, 0 %
11203 MiB, 22528 MiB, 59 %
400 MiB, 22528 MiB, 0 %
11203 MiB, 22528 MiB, 59 %
400 MiB, 22528 MiB, 0 %
11203 MiB, 22528 MiB, 60 %
400 MiB, 22528 MiB, 0 %
11203 MiB, 22528 MiB, 67 %
400 MiB, 22528 MiB, 0 %
11203 MiB, 22528 MiB, 61 %
400 MiB, 22528 MiB, 0 %
11203 MiB, 22528 MiB, 57 %
400 MiB, 22528 MiB, 0 %
11203 MiB, 22528 MiB, 63 %
400 MiB, 22528 MiB, 0 %
11203 MiB, 22528 MiB, 65 %
400 MiB, 22528 MiB, 0 %
11203 MiB, 22528 MiB, 63 %
400 MiB, 22528 MiB, 0 %
11203 MiB, 22528 MiB, 65 %
400 MiB, 22528 MiB, 0 %
11203 MiB, 22528 MiB, 58 %
400 MiB, 22528 MiB, 0 %
11203 MiB, 22528 MiB, 69 %
400 MiB, 22528 MiB, 0 %
11203 MiB, 22528 MiB, 64 %
400 MiB, 22528 MiB, 0 %
11203 MiB, 22528 MiB, 56 %
400 MiB, 22528 MiB, 0 %
11203 MiB, 22528 MiB, 60 %
400 MiB, 22528 MiB, 0 %
11203 MiB, 22528 MiB, 61 %
400 MiB, 22528 MiB, 0 %
11203 MiB, 22528 MiB, 69 %
400 MiB, 22528 MiB, 0 %
11203 MiB, 22528 MiB, 66 %
400 MiB, 22528 MiB, 0 %
11203 MiB, 22528 MiB, 58 %
400 MiB, 22528 MiB, 0 %
11203 MiB, 22528 MiB, 57 %
400 MiB, 22528 MiB, 0 %
11203 MiB, 22528 MiB, 50 %
400 MiB, 22528 MiB, 0 %
11203 MiB, 22528 MiB, 57 %
400 MiB, 22528 MiB, 0 %
11203 MiB, 22528 MiB, 68 %
400 MiB, 22528 MiB, 0 %
11203 MiB, 22528 MiB, 64 %
400 MiB, 22528 MiB, 0 %
11203 MiB, 22528 MiB, 58 %
400 MiB, 22528 MiB, 0 %
11203 MiB, 22528 MiB, 58 %
400 MiB, 22528 MiB, 0 %
11203 MiB, 22528 MiB, 60 %
400 MiB, 22528 MiB, 0 %
11203 MiB, 22528 MiB, 57 %
400 MiB, 22528 MiB, 0 %
11203 MiB, 22528 MiB, 62 %
400 MiB, 22528 MiB, 0 %
11203 MiB, 22528 MiB, 57 %
400 MiB, 22528 MiB, 0 %
11203 MiB, 22528 MiB, 68 %
400 MiB, 22528 MiB, 0 %
11203 MiB, 22528 MiB, 56 %
400 MiB, 22528 MiB, 0 %
11203 MiB, 22528 MiB, 56 %
401 MiB, 22528 MiB, 0 %
11203 MiB, 22528 MiB, 50 %
401 MiB, 22528 MiB, 0 %
11203 MiB, 22528 MiB, 55 %
401 MiB, 22528 MiB, 0 %
11203 MiB, 22528 MiB, 68 %
401 MiB, 22528 MiB, 0 %
11203 MiB, 22528 MiB, 57 %
401 MiB, 22528 MiB, 0 %
11203 MiB, 22528 MiB, 60 %
401 MiB, 22528 MiB, 0 %
11203 MiB, 22528 MiB, 66 %
400 MiB, 22528 MiB, 0 %
11203 MiB, 22528 MiB, 65 %
400 MiB, 22528 MiB, 0 %
11203 MiB, 22528 MiB, 54 %
400 MiB, 22528 MiB, 0 %
11203 MiB, 22528 MiB, 66 %
400 MiB, 22528 MiB, 0 %
11203 MiB, 22528 MiB, 58 %
400 MiB, 22528 MiB, 0 %
11203 MiB, 22528 MiB, 63 %
400 MiB, 22528 MiB, 0 %
11203 MiB, 22528 MiB, 64 %
399 MiB, 22528 MiB, 0 %
11203 MiB, 22528 MiB, 61 %
399 MiB, 22528 MiB, 0 %
11203 MiB, 22528 MiB, 46 %
399 MiB, 22528 MiB, 0 %
11203 MiB, 22528 MiB, 61 %
399 MiB, 22528 MiB, 0 %
11203 MiB, 22528 MiB, 57 %
399 MiB, 22528 MiB, 0 %
11203 MiB, 22528 MiB, 60 %
399 MiB, 22528 MiB, 0 %
11203 MiB, 22528 MiB, 68 %
400 MiB, 22528 MiB, 0 %
11203 MiB, 22528 MiB, 61 %
400 MiB, 22528 MiB, 0 %
11203 MiB, 22528 MiB, 56 %
400 MiB, 22528 MiB, 0 %
11203 MiB, 22528 MiB, 35 %
400 MiB, 22528 MiB, 0 %
11203 MiB, 22528 MiB, 66 %
400 MiB, 22528 MiB, 0 %
295 MiB, 22528 MiB, 0 %
400 MiB, 22528 MiB, 0 %
11567 MiB, 22528 MiB, 65 %
400 MiB, 22528 MiB, 0 %
11569 MiB, 22528 MiB, 66 %
400 MiB, 22528 MiB, 0 %
11569 MiB, 22528 MiB, 66 %
400 MiB, 22528 MiB, 0 %
11571 MiB, 22528 MiB, 66 %
400 MiB, 22528 MiB, 0 %
11571 MiB, 22528 MiB, 63 %
400 MiB, 22528 MiB, 0 %
11571 MiB, 22528 MiB, 57 %
400 MiB, 22528 MiB, 0 %
11571 MiB, 22528 MiB, 66 %
400 MiB, 22528 MiB, 0 %
11571 MiB, 22528 MiB, 59 %
400 MiB, 22528 MiB, 0 %
11571 MiB, 22528 MiB, 57 %
400 MiB, 22528 MiB, 0 %
11571 MiB, 22528 MiB, 70 %
400 MiB, 22528 MiB, 0 %
11571 MiB, 22528 MiB, 63 %
400 MiB, 22528 MiB, 0 %
11571 MiB, 22528 MiB, 57 %
399 MiB, 22528 MiB, 0 %
11571 MiB, 22528 MiB, 59 %
399 MiB, 22528 MiB, 0 %
11571 MiB, 22528 MiB, 62 %
399 MiB, 22528 MiB, 0 %
11571 MiB, 22528 MiB, 68 %
399 MiB, 22528 MiB, 0 %
11571 MiB, 22528 MiB, 66 %
399 MiB, 22528 MiB, 0 %
11571 MiB, 22528 MiB, 60 %
399 MiB, 22528 MiB, 0 %
11571 MiB, 22528 MiB, 50 %
399 MiB, 22528 MiB, 0 %
11571 MiB, 22528 MiB, 56 %
400 MiB, 22528 MiB, 0 %
11571 MiB, 22528 MiB, 65 %
400 MiB, 22528 MiB, 0 %
11571 MiB, 22528 MiB, 57 %
400 MiB, 22528 MiB, 0 %
11571 MiB, 22528 MiB, 61 %
400 MiB, 22528 MiB, 0 %
11571 MiB, 22528 MiB, 65 %
400 MiB, 22528 MiB, 0 %
11571 MiB, 22528 MiB, 70 %
400 MiB, 22528 MiB, 0 %
11571 MiB, 22528 MiB, 62 %
400 MiB, 22528 MiB, 0 %
11571 MiB, 22528 MiB, 68 %
400 MiB, 22528 MiB, 0 %
11571 MiB, 22528 MiB, 57 %
400 MiB, 22528 MiB, 0 %
11571 MiB, 22528 MiB, 57 %
400 MiB, 22528 MiB, 0 %
11571 MiB, 22528 MiB, 59 %
400 MiB, 22528 MiB, 0 %
11571 MiB, 22528 MiB, 65 %
400 MiB, 22528 MiB, 0 %
11571 MiB, 22528 MiB, 56 %
399 MiB, 22528 MiB, 0 %
11571 MiB, 22528 MiB, 55 %
399 MiB, 22528 MiB, 0 %
11571 MiB, 22528 MiB, 58 %
399 MiB, 22528 MiB, 0 %
11571 MiB, 22528 MiB, 67 %
399 MiB, 22528 MiB, 0 %
11571 MiB, 22528 MiB, 63 %
399 MiB, 22528 MiB, 0 %
11571 MiB, 22528 MiB, 57 %
399 MiB, 22528 MiB, 0 %
11571 MiB, 22528 MiB, 69 %
400 MiB, 22528 MiB, 0 %
11571 MiB, 22528 MiB, 63 %
400 MiB, 22528 MiB, 0 %
11571 MiB, 22528 MiB, 66 %
400 MiB, 22528 MiB, 0 %
11571 MiB, 22528 MiB, 67 %
400 MiB, 22528 MiB, 0 %
11571 MiB, 22528 MiB, 58 %
400 MiB, 22528 MiB, 0 %
11571 MiB, 22528 MiB, 63 %
400 MiB, 22528 MiB, 0 %
11571 MiB, 22528 MiB, 65 %
400 MiB, 22528 MiB, 0 %
11571 MiB, 22528 MiB, 62 %
400 MiB, 22528 MiB, 0 %
11571 MiB, 22528 MiB, 64 %
400 MiB, 22528 MiB, 0 %
11571 MiB, 22528 MiB, 61 %
400 MiB, 22528 MiB, 0 %
11571 MiB, 22528 MiB, 56 %
400 MiB, 22528 MiB, 0 %
11571 MiB, 22528 MiB, 59 %
400 MiB, 22528 MiB, 0 %
11571 MiB, 22528 MiB, 68 %
399 MiB, 22528 MiB, 0 %
11571 MiB, 22528 MiB, 59 %
399 MiB, 22528 MiB, 0 %
11571 MiB, 22528 MiB, 54 %
399 MiB, 22528 MiB, 0 %
11571 MiB, 22528 MiB, 67 %
399 MiB, 22528 MiB, 0 %
11571 MiB, 22528 MiB, 59 %
399 MiB, 22528 MiB, 0 %
11571 MiB, 22528 MiB, 58 %
399 MiB, 22528 MiB, 0 %
11571 MiB, 22528 MiB, 66 %
400 MiB, 22528 MiB, 0 %
11571 MiB, 22528 MiB, 68 %
400 MiB, 22528 MiB, 0 %
11571 MiB, 22528 MiB, 54 %
400 MiB, 22528 MiB, 0 %
11571 MiB, 22528 MiB, 62 %
400 MiB, 22528 MiB, 0 %
11571 MiB, 22528 MiB, 64 %
400 MiB, 22528 MiB, 0 %
11571 MiB, 22528 MiB, 57 %
400 MiB, 22528 MiB, 0 %
11571 MiB, 22528 MiB, 60 %
400 MiB, 22528 MiB, 0 %
11571 MiB, 22528 MiB, 70 %
400 MiB, 22528 MiB, 0 %
11571 MiB, 22528 MiB, 67 %
400 MiB, 22528 MiB, 0 %
11571 MiB, 22528 MiB, 53 %
400 MiB, 22528 MiB, 0 %
11571 MiB, 22528 MiB, 66 %
400 MiB, 22528 MiB, 0 %
295 MiB, 22528 MiB, 0 %
400 MiB, 22528 MiB, 0 %
11395 MiB, 22528 MiB, 66 %
399 MiB, 22528 MiB, 0 %
11399 MiB, 22528 MiB, 65 %
399 MiB, 22528 MiB, 0 %
11399 MiB, 22528 MiB, 66 %
399 MiB, 22528 MiB, 0 %
11399 MiB, 22528 MiB, 67 %
399 MiB, 22528 MiB, 0 %
11399 MiB, 22528 MiB, 57 %
399 MiB, 22528 MiB, 0 %
11399 MiB, 22528 MiB, 64 %
399 MiB, 22528 MiB, 0 %
11399 MiB, 22528 MiB, 67 %
400 MiB, 22528 MiB, 0 %
11399 MiB, 22528 MiB, 63 %
400 MiB, 22528 MiB, 0 %
11399 MiB, 22528 MiB, 57 %
400 MiB, 22528 MiB, 0 %
11399 MiB, 22528 MiB, 58 %
400 MiB, 22528 MiB, 0 %
11399 MiB, 22528 MiB, 62 %
400 MiB, 22528 MiB, 0 %
11399 MiB, 22528 MiB, 58 %
400 MiB, 22528 MiB, 0 %
11399 MiB, 22528 MiB, 57 %
400 MiB, 22528 MiB, 0 %
11399 MiB, 22528 MiB, 66 %
400 MiB, 22528 MiB, 0 %
11399 MiB, 22528 MiB, 69 %
400 MiB, 22528 MiB, 0 %
11399 MiB, 22528 MiB, 59 %
400 MiB, 22528 MiB, 0 %
11399 MiB, 22528 MiB, 59 %
400 MiB, 22528 MiB, 0 %
11399 MiB, 22528 MiB, 65 %
400 MiB, 22528 MiB, 0 %
11399 MiB, 22528 MiB, 59 %
399 MiB, 22528 MiB, 0 %
11399 MiB, 22528 MiB, 62 %
399 MiB, 22528 MiB, 0 %
11399 MiB, 22528 MiB, 64 %
399 MiB, 22528 MiB, 0 %
