method_name,metric,r_lo,r_hi,slope
dynamic_lte_mstcn,Non0_F1_score,0.35,0.4,
dynamic_lte_mstcn,Non0_F1_score,0.4,0.45,
dynamic_lte_mstcn,Non0_F1_score,0.45,0.5,
dynamic_lte_mstcn,Non0_F1_score,0.5,0.55,
dynamic_lte_mstcn,Non0_F1_score,0.55,0.6,
dynamic_lte_mstcn,Mult_acc_5,0.0,0.1,-0.7099999999999995
dynamic_lte_mstcn,Mult_acc_5,0.1,0.15,
dynamic_lte_mstcn,Mult_acc_5,0.15,0.2,
dynamic_lte_mstcn,Mult_acc_5,0.2,0.25,
dynamic_lte_mstcn,Mult_acc_5,0.25,0.3,
dynamic_lte_mstcn,Mult_acc_5,0.3,0.35,
dynamic_lte_mstcn,Mult_acc_5,0.35,0.4,
dynamic_lte_mstcn,Mult_acc_5,0.4,0.45,
dynamic_lte_mstcn,Mult_acc_5,0.45,0.5,
dynamic_lte_mstcn,Mult_acc_5,0.5,0.55,
dynamic_lte_mstcn,Mult_acc_5,0.55,0.6,
dynamic_lte_mstcn,Mult_acc_7,0.0,0.1,-0.6220000000000009
dynamic_lte_mstcn,Mult_acc_7,0.1,0.15,
dynamic_lte_mstcn,Mult_acc_7,0.15,0.2,
dynamic_lte_mstcn,Mult_acc_7,0.2,0.25,
dynamic_lte_mstcn,Mult_acc_7,0.25,0.3,
dynamic_lte_mstcn,Mult_acc_7,0.3,0.35,
dynamic_lte_mstcn,Mult_acc_7,0.35,0.4,
dynamic_lte_mstcn,Mult_acc_7,0.4,0.45,
dynamic_lte_mstcn,Mult_acc_7,0.45,0.5,
dynamic_lte_mstcn,Mult_acc_7,0.5,0.55,
dynamic_lte_mstcn,Mult_acc_7,0.55,0.6,
dynamic_lte_mstcn,MAE,0.0,0.1,1.2870000000000004
dynamic_lte_mstcn,MAE,0.1,0.15,
dynamic_lte_mstcn,MAE,0.15,0.2,
dynamic_lte_mstcn,MAE,0.2,0.25,
dynamic_lte_mstcn,MAE,0.25,0.3,
dynamic_lte_mstcn,MAE,0.3,0.35,
dynamic_lte_mstcn,MAE,0.35,0.4,
dynamic_lte_mstcn,MAE,0.4,0.45,
dynamic_lte_mstcn,MAE,0.45,0.5,
dynamic_lte_mstcn,MAE,0.5,0.55,
dynamic_lte_mstcn,MAE,0.55,0.6,
dynamic_lte_mstcn,Corr,0.0,0.1,-0.6010000000000004
dynamic_lte_mstcn,Corr,0.1,0.15,
dynamic_lte_mstcn,Corr,0.15,0.2,
dynamic_lte_mstcn,Corr,0.2,0.25,
dynamic_lte_mstcn,Corr,0.25,0.3,
dynamic_lte_mstcn,Corr,0.3,0.35,
dynamic_lte_mstcn,Corr,0.35,0.4,
dynamic_lte_mstcn,Corr,0.4,0.45,
dynamic_lte_mstcn,Corr,0.45,0.5,
dynamic_lte_mstcn,Corr,0.5,0.55,
dynamic_lte_mstcn,Corr,0.55,0.6,
dynamic_lte_mstcn,Loss,0.0,0.1,1.271
dynamic_lte_mstcn,Loss,0.1,0.15,
dynamic_lte_mstcn,Loss,0.15,0.2,
dynamic_lte_mstcn,Loss,0.2,0.25,
dynamic_lte_mstcn,Loss,0.25,0.3,
dynamic_lte_mstcn,Loss,0.3,0.35,
dynamic_lte_mstcn,Loss,0.35,0.4,
dynamic_lte_mstcn,Loss,0.4,0.45,
dynamic_lte_mstcn,Loss,0.45,0.5,
dynamic_lte_mstcn,Loss,0.5,0.55,
dynamic_lte_mstcn,Loss,0.55,0.6,
regime_policy,Has0_acc_2,0.0,0.1,-0.2186666666666659
regime_policy,Has0_acc_2,0.1,0.15,-0.28533333333333527
regime_policy,Has0_acc_2,0.15,0.2,-0.4670000000000017
regime_policy,Has0_acc_2,0.2,0.25,0.08900000000000131
regime_policy,Has0_acc_2,0.25,0.3,-0.4180000000000007
regime_policy,Has0_acc_2,0.3,0.35,-0.4179999999999985
regime_policy,Has0_acc_2,0.35,0.4,-0.30199999999999977
regime_policy,Has0_acc_2,0.4,0.45,-0.34000000000000036
regime_policy,Has0_acc_2,0.45,0.5,-0.8260000000000003
regime_policy,Has0_acc_2,0.5,0.55,0.49600000000000044
regime_policy,Has0_acc_2,0.55,0.6,-0.47700000000000137
regime_policy,Has0_F1_score,0.0,0.1,-0.21099999999999786
regime_policy,Has0_F1_score,0.1,0.15,-0.3160000000000008
regime_policy,Has0_F1_score,0.15,0.2,-0.46000000000000024
regime_policy,Has0_F1_score,0.2,0.25,0.1019999999999999
regime_policy,Has0_F1_score,0.25,0.3,-0.4159999999999987
regime_policy,Has0_F1_score,0.3,0.35,-0.41200000000000137
regime_policy,Has0_F1_score,0.35,0.4,-0.33599999999999824
regime_policy,Has0_F1_score,0.4,0.45,-0.30800000000000166
regime_policy,Has0_F1_score,0.45,0.5,-0.6599999999999985
regime_policy,Has0_F1_score,0.5,0.55,0.2879999999999991
regime_policy,Has0_F1_score,0.55,0.6,-0.4240000000000027
regime_policy,Non0_acc_2,0.0,0.1,-0.19333333333333647
regime_policy,Non0_acc_2,0.1,0.15,-0.4126666666666635
regime_policy,Non0_acc_2,0.15,0.2,-0.5089999999999992
regime_policy,Non0_acc_2,0.2,0.25,0.19299999999999878
regime_policy,Non0_acc_2,0.25,0.3,-0.4159999999999987
regime_policy,Non0_acc_2,0.3,0.35,-0.5699999999999995
regime_policy,Non0_acc_2,0.35,0.4,-0.40599999999999936
regime_policy,Non0_acc_2,0.4,0.45,-0.3160000000000008
regime_policy,Non0_acc_2,0.45,0.5,-0.9640000000000006
regime_policy,Non0_acc_2,0.5,0.55,0.68
regime_policy,Non0_acc_2,0.55,0.6,-0.462000000000003
regime_policy,Non0_F1_score,0.0,0.1,-0.1870000000000016
regime_policy,Non0_F1_score,0.1,0.15,-0.4386666666666651
