method_name,metric,r_lo,r_hi,slope
dynamic_lte_mstcn,Has0_F1_score,0.35,0.4,
dynamic_lte_mstcn,Has0_F1_score,0.4,0.45,
dynamic_lte_mstcn,Has0_F1_score,0.45,0.5,
dynamic_lte_mstcn,Has0_F1_score,0.5,0.55,
dynamic_lte_mstcn,Has0_F1_score,0.55,0.6,
dynamic_lte_mstcn,Non0_acc_2,0.0,0.1,0.09400000000000075
dynamic_lte_mstcn,Non0_acc_2,0.1,0.15,
dynamic_lte_mstcn,Non0_acc_2,0.15,0.2,
dynamic_lte_mstcn,Non0_acc_2,0.2,0.25,
dynamic_lte_mstcn,Non0_acc_2,0.25,0.3,
dynamic_lte_mstcn,Non0_acc_2,0.3,0.35,
dynamic_lte_mstcn,Non0_acc_2,0.35,0.4,
dynamic_lte_mstcn,Non0_acc_2,0.4,0.45,
dynamic_lte_mstcn,Non0_acc_2,0.45,0.5,
dynamic_lte_mstcn,Non0_acc_2,0.5,0.55,
dynamic_lte_mstcn,Non0_acc_2,0.55,0.6,
dynamic_lte_mstcn,Non0_F1_score,0.0,0.1,0.09700000000000042
dynamic_lte_mstcn,Non0_F1_score,0.1,0.15,
dynamic_lte_mstcn,Non0_F1_score,0.15,0.2,
dynamic_lte_mstcn,Non0_F1_score,0.2,0.25,
dynamic_lte_mstcn,Non0_F1_score,0.25,0.3,
dynamic_lte_mstcn,Non0_F1_score,0.3,0.35,
dynamic_lte_mstcn,Non0_F1_score,0.35,0.4,
dynamic_lte_mstcn,Non0_F1_score,0.4,0.45,
dynamic_lte_mstcn,Non0_F1_score,0.45,0.5,
dynamic_lte_mstcn,Non0_F1_score,0.5,0.55,
dynamic_lte_mstcn,Non0_F1_score,0.55,0.6,
dynamic_lte_mstcn,Mult_acc_5,0.0,0.1,-0.24599999999999955
dynamic_lte_mstcn,Mult_acc_5,0.1,0.15,
dynamic_lte_mstcn,Mult_acc_5,0.15,0.2,
dynamic_lte_mstcn,Mult_acc_5,0.2,0.25,
dynamic_lte_mstcn,Mult_acc_5,0.25,0.3,
dynamic_lte_mstcn,Mult_acc_5,0.3,0.35,
dynamic_lte_mstcn,Mult_acc_5,0.35,0.4,
dynamic_lte_mstcn,Mult_acc_5,0.4,0.45,
dynamic_lte_mstcn,Mult_acc_5,0.45,0.5,
dynamic_lte_mstcn,Mult_acc_5,0.5,0.55,
dynamic_lte_mstcn,Mult_acc_5,0.55,0.6,
dynamic_lte_mstcn,Mult_acc_7,0.0,0.1,-0.27100000000000013
dynamic_lte_mstcn,Mult_acc_7,0.1,0.15,
dynamic_lte_mstcn,Mult_acc_7,0.15,0.2,
dynamic_lte_mstcn,Mult_acc_7,0.2,0.25,
dynamic_lte_mstcn,Mult_acc_7,0.25,0.3,
dynamic_lte_mstcn,Mult_acc_7,0.3,0.35,
dynamic_lte_mstcn,Mult_acc_7,0.35,0.4,
dynamic_lte_mstcn,Mult_acc_7,0.4,0.45,
dynamic_lte_mstcn,Mult_acc_7,0.45,0.5,
dynamic_lte_mstcn,Mult_acc_7,0.5,0.55,
dynamic_lte_mstcn,Mult_acc_7,0.55,0.6,
dynamic_lte_mstcn,MAE,0.0,0.1,0.3939999999999999
dynamic_lte_mstcn,MAE,0.1,0.15,
dynamic_lte_mstcn,MAE,0.15,0.2,
dynamic_lte_mstcn,MAE,0.2,0.25,
dynamic_lte_mstcn,MAE,0.25,0.3,
dynamic_lte_mstcn,MAE,0.3,0.35,
dynamic_lte_mstcn,MAE,0.35,0.4,
dynamic_lte_mstcn,MAE,0.4,0.45,
dynamic_lte_mstcn,MAE,0.45,0.5,
dynamic_lte_mstcn,MAE,0.5,0.55,
dynamic_lte_mstcn,MAE,0.55,0.6,
dynamic_lte_mstcn,Corr,0.0,0.1,-0.24800000000000044
dynamic_lte_mstcn,Corr,0.1,0.15,
dynamic_lte_mstcn,Corr,0.15,0.2,
dynamic_lte_mstcn,Corr,0.2,0.25,
dynamic_lte_mstcn,Corr,0.25,0.3,
dynamic_lte_mstcn,Corr,0.3,0.35,
dynamic_lte_mstcn,Corr,0.35,0.4,
dynamic_lte_mstcn,Corr,0.4,0.45,
dynamic_lte_mstcn,Corr,0.45,0.5,
dynamic_lte_mstcn,Corr,0.5,0.55,
dynamic_lte_mstcn,Corr,0.55,0.6,
dynamic_lte_mstcn,Loss,0.0,0.1,0.39899999999999936
dynamic_lte_mstcn,Loss,0.1,0.15,
dynamic_lte_mstcn,Loss,0.15,0.2,
dynamic_lte_mstcn,Loss,0.2,0.25,
dynamic_lte_mstcn,Loss,0.25,0.3,
dynamic_lte_mstcn,Loss,0.3,0.35,
dynamic_lte_mstcn,Loss,0.35,0.4,
dynamic_lte_mstcn,Loss,0.4,0.45,
dynamic_lte_mstcn,Loss,0.45,0.5,
dynamic_lte_mstcn,Loss,0.5,0.55,
dynamic_lte_mstcn,Loss,0.55,0.6,
regime_policy,Has0_acc_2,0.0,0.1,0.3300000000000014
regime_policy,Has0_acc_2,0.1,0.15,
regime_policy,Has0_acc_2,0.15,0.2,
regime_policy,Has0_acc_2,0.2,0.25,
regime_policy,Has0_acc_2,0.25,0.3,
regime_policy,Has0_acc_2,0.3,0.35,
regime_policy,Has0_acc_2,0.35,0.4,
