dataset,missing,mode,phase,protocol_tag,fusion_center_mode,use_anchor_moe,seed,train_drop_last,eval_drop_last,test_drop_last,task_router_lambda,center_aux_lambda,router_oracle_temperature,router_oracle_type,router_missing_bias,gate_balance_lambda,gate_target,rta_gate_mode,use_prediction_gate_supervision,gate_oracle_temperature,gate_task_lambda,use_task_aware_router,use_reliability_task_gate,export_anchor_weights,export_task_router_info,train_batch_size,eval_batch_size,test_batch_size,output_dir,effective_train_samples,effective_valid_samples,effective_test_samples,status,log_path,run_id,Has0_acc_2,Has0_F1_score,Non0_acc_2,Non0_F1_score,Mult_acc_5,Mult_acc_7,MAE,Corr,Loss
mosi,0.800000,text,full,trainDL1_evalDL0_testDL0,text,0,111,1,0,0,0.100000,0.050000,0.800000,soft,2.000000,0.000000,0.500000,learned,1,0.800000,0.020000,0,1,1,1,24,24,24,results/auto_anchor_runs_stress_06_10,1272.000000,229.000000,686.000000,success,"results/auto_anchor_runs_stress_06_10/logs/mosi_m0.8_text_seed111,1111,11111_trainDL1_evalDL0_testDL0_full.log",mosi_m0.8_text_seed111_trainDL1_evalDL0_testDL0_20260526_0856,0.637000,0.636000,0.640200,0.638100,0.237600,0.221600,1.414600,0.284100,1.417900
mosi,0.800000,text,full,trainDL1_evalDL0_testDL0,text,0,1111,1,0,0,0.100000,0.050000,0.800000,soft,2.000000,0.000000,0.500000,learned,1,0.800000,0.020000,0,1,1,1,24,24,24,results/auto_anchor_runs_stress_06_10,1272.000000,229.000000,686.000000,success,"results/auto_anchor_runs_stress_06_10/logs/mosi_m0.8_text_seed111,1111,11111_trainDL1_evalDL0_testDL0_full.log",mosi_m0.8_text_seed1111_trainDL1_evalDL0_testDL0_20260526_0856,0.472300,0.564800,0.455800,0.548900,0.154500,0.154500,1.483500,0.068000,1.475900
mosi,0.800000,text,full,trainDL1_evalDL0_testDL0,text,0,11111,1,0,0,0.100000,0.050000,0.800000,soft,2.000000,0.000000,0.500000,learned,1,0.800000,0.020000,0,1,1,1,24,24,24,results/auto_anchor_runs_stress_06_10,1272.000000,229.000000,686.000000,success,"results/auto_anchor_runs_stress_06_10/logs/mosi_m0.8_text_seed111,1111,11111_trainDL1_evalDL0_testDL0_full.log",mosi_m0.8_text_seed11111_trainDL1_evalDL0_testDL0_20260526_0856,0.514600,0.561300,0.501500,0.547200,0.177800,0.177800,1.458400,0.145200,1.461700
mosi,0.800000,vision,full,trainDL1_evalDL0_testDL0,vision,0,111,1,0,0,0.100000,0.050000,0.800000,soft,2.000000,0.000000,0.500000,learned,1,0.800000,0.020000,0,1,1,1,24,24,24,results/auto_anchor_runs_stress_06_10,1272.000000,229.000000,686.000000,success,"results/auto_anchor_runs_stress_06_10/logs/mosi_m0.8_vision_seed111,1111,11111_trainDL1_evalDL0_testDL0_full.log",mosi_m0.8_vision_seed111_trainDL1_evalDL0_testDL0_20260526_0930,0.602000,0.606000,0.593000,0.594900,0.227400,0.215700,1.466100,0.254700,1.468600
mosi,0.800000,vision,full,trainDL1_evalDL0_testDL0,vision,0,1111,1,0,0,0.100000,0.050000,0.800000,soft,2.000000,0.000000,0.500000,learned,1,0.800000,0.020000,0,1,1,1,24,24,24,results/auto_anchor_runs_stress_06_10,1272.000000,229.000000,686.000000,success,"results/auto_anchor_runs_stress_06_10/logs/mosi_m0.8_vision_seed111,1111,11111_trainDL1_evalDL0_testDL0_full.log",mosi_m0.8_vision_seed1111_trainDL1_evalDL0_testDL0_20260526_0930,0.575800,0.574800,0.571600,0.569100,0.199700,0.193900,1.388500,0.191900,1.392800
mosi,0.800000,vision,full,trainDL1_evalDL0_testDL0,vision,0,11111,1,0,0,0.100000,0.050000,0.800000,soft,2.000000,0.000000,0.500000,learned,1,0.800000,0.020000,0,1,1,1,24,24,24,results/auto_anchor_runs_stress_06_10,1272.000000,229.000000,686.000000,success,"results/auto_anchor_runs_stress_06_10/logs/mosi_m0.8_vision_seed111,1111,11111_trainDL1_evalDL0_testDL0_full.log",mosi_m0.8_vision_seed11111_trainDL1_evalDL0_testDL0_20260526_0930,0.583100,0.581900,0.588400,0.585900,0.227400,0.220100,1.379400,0.209800,1.380200
mosi,0.900000,dynamic_rta_pred_residual,full,trainDL1_evalDL0_testDL0,dynamic_rta_pred_residual,0,111,1,0,0,0.100000,0.050000,0.800000,soft,2.000000,0.000000,0.500000,learned,1,0.800000,0.020000,1,1,1,1,24,24,24,results/auto_anchor_runs_stress_06_10/rta_pred_residual_analysis,1272.000000,229.000000,686.000000,success,"results/auto_anchor_runs_stress_06_10/logs/mosi_m0.9_dynamic_rta_pred_residual_seed111,1111,11111_trainDL1_evalDL0_testDL0_full.log",mosi_m0.9_dynamic_rta_pred_residual_seed111_trainDL1_evalDL0_testDL0_20260526_1219,0.460600,0.574300,0.439000,0.552500,0.158900,0.158900,1.451400,0.070600,1.452900
mosi,0.900000,dynamic_rta_pred_residual,full,trainDL1_evalDL0_testDL0,dynamic_rta_pred_residual,0,1111,1,0,0,0.100000,0.050000,0.800000,soft,2.000000,0.000000,0.500000,learned,1,0.800000,0.020000,1,1,1,1,24,24,24,results/auto_anchor_runs_stress_06_10/rta_pred_residual_analysis,1272.000000,229.000000,686.000000,success,"results/auto_anchor_runs_stress_06_10/logs/mosi_m0.9_dynamic_rta_pred_residual_seed111,1111,11111_trainDL1_evalDL0_testDL0_full.log",mosi_m0.9_dynamic_rta_pred_residual_seed1111_trainDL1_evalDL0_testDL0_20260526_1219,0.535000,0.587700,0.518300,0.569300,0.182200,0.177800,1.464100,0.226300,1.466500
mosi,0.900000,dynamic_rta_pred_residual,full,trainDL1_evalDL0_testDL0,dynamic_rta_pred_residual,0,11111,1,0,0,0.100000,0.050000,0.800000,soft,2.000000,0.000000,0.500000,learned,1,0.800000,0.020000,1,1,1,1,24,24,24,results/auto_anchor_runs_stress_06_10/rta_pred_residual_analysis,1272.000000,229.000000,686.000000,success,"results/auto_anchor_runs_stress_06_10/logs/mosi_m0.9_dynamic_rta_pred_residual_seed111,1111,11111_trainDL1_evalDL0_testDL0_full.log",mosi_m0.9_dynamic_rta_pred_residual_seed11111_trainDL1_evalDL0_testDL0_20260526_1219,0.597700,0.596600,0.600600,0.598300,0.212800,0.211400,1.384300,0.196000,1.382300
mosi,0.900000,dynamic_soft,full,trainDL1_evalDL0_testDL0,dynamic_soft,0,111,1,0,0,0.100000,0.050000,0.800000,soft,2.000000,0.000000,0.500000,learned,1,0.800000,0.020000,0,1,1,1,24,24,24,results/auto_anchor_runs_stress_06_10,1272.000000,229.000000,686.000000,success,"results/auto_anchor_runs_stress_06_10/logs/mosi_m0.9_dynamic_soft_seed111,1111,11111_trainDL1_evalDL0_testDL0_full.log",mosi_m0.9_dynamic_soft_seed111_trainDL1_evalDL0_testDL0_20260526_1155,0.453400,0.612400,0.428400,0.587700,0.154500,0.154500,1.456000,0.105300,1.454400
